Date,Close,Volume,Open,High,Low
2022-10-13,221.72,91483050,208.3,222.99,206.22
2022-10-12,217.24,66860700,215.33,219.2999,211.51
2022-10-11,216.5,77013200,220.945,225.75,215.0
2022-10-10,222.96,67925020,223.93,226.99,218.3582
2022-10-07,223.07,83916800,233.935,234.5715,222.02
2022-10-06,238.13,69298440,239.44,244.58,235.35
2022-10-05,240.81,86982670,245.01,246.6697,233.27
2022-10-04,249.44,109578500,250.52,257.5,242.01
2022-10-03,242.4,98363540,254.5,255.16,241.01
2022-09-30,265.25,67726600,266.145,275.57,262.47
2022-09-29,268.21,77620640,282.76,283.65,265.78
2022-09-28,287.81,54664810,283.08,289.0,277.57
2022-09-27,282.94,61925190,283.84,288.67,277.51
2022-09-26,276.01,58076910,271.83,284.09,270.31
2022-09-23,275.33,63748360,283.09,284.5,272.82
2022-09-22,288.59,70545410,299.86,301.29,285.82
2022-09-21,300.8,62555660,308.29,313.8,300.63
2022-09-20,308.73,61642780,306.91,313.33,305.58
2022-09-19,309.07,60231160,300.09,309.84,297.8
2022-09-16,303.35,87087790,299.605,303.71,295.6005
2022-09-15,303.75,64795520,301.825,309.12,300.7247
2022-09-14,302.61,72628650,292.24,306.0,291.64
2022-09-13,292.13,68229620,292.9,297.3999,290.4
2022-09-12,304.42,48674600,300.72,305.49,300.4
2022-09-09,299.68,54470850,291.67,299.85,291.245
2022-09-08,289.26,53713120,281.3,289.5,279.76
2022-09-07,283.7,50028920,273.1,283.84,272.27
2022-09-06,274.42,55859980,272.675,275.99,265.74
2022-09-02,270.21,50890090,281.065,282.35,269.08
2022-09-01,277.16,54287020,272.575,277.58,266.15
2022-08-31,275.61,52107340,280.62,281.25,271.81
2022-08-30,277.7,50541760,287.865,288.48,272.65
2022-08-29,284.82,41864740,282.83,287.74,280.7
2022-08-26,288.09,57163950,297.43,302.0,287.47
2022-08-25,296.07,53230010,302.36,302.96,291.6
2022-08-24,297.0966,57259716,297.5633,303.6466,296.5
2022-08-23,296.4533,63985056,291.4533,298.8266,287.9233
2022-08-22,289.9133,55843356,291.9133,292.4,286.2966
2022-08-19,296.6666,61395396,299.0,300.36,292.5
2022-08-18,302.87,47500535,306.0,306.5,301.8533
2022-08-17,303.9966,68765977,303.3966,309.6566,300.0333
2022-08-16,306.5633,88136319,311.6666,314.6666,302.8833
2022-08-15,309.32,89359179,301.7866,313.1333,301.23
2022-08-12,300.03,79657298,289.415,300.16,285.0333
2022-08-11,286.63,70155067,296.5133,298.2366,285.8333
2022-08-10,294.3566,94918869,297.0666,297.51,283.37
2022-08-09,283.3333,86244699,290.2933,292.3966,279.3533
2022-08-08,290.4233,99365290,295.0,305.2,289.0854
2022-08-05,288.17,113172911,302.67,304.6066,285.5446
2022-08-04,308.6333,72256327,311.0,313.6066,305.0
2022-08-03,307.3966,80091128,305.0,309.55,301.15
2022-08-02,300.5866,95577490,294.0033,307.8333,292.6666
2022-08-01,297.2766,117042912,301.275,311.8782,295.0
2022-07-29,297.15,95312890,280.7,298.32,279.1
2022-07-28,280.9,84723008,280.0666,283.3,272.8
2022-07-27,274.82,88110009,263.81,275.9256,261.79
2022-07-26,258.86,66820777,266.5133,267.3099,256.2633
2022-07-25,268.4333,64073526,272.2166,274.1466,267.4
2022-07-22,272.2433,103472860,276.22,280.7866,270.7133
2022-07-21,271.7066,142032194,255.1066,273.2666,254.8666
2022-07-20,247.5,88864089,246.7833,250.6633,243.483
2022-07-19,245.53,80890118,245.0,247.14,236.9766
2022-07-18,240.5466,82537448,244.9366,250.5166,239.6033
2022-07-15,240.0666,69683017,240.0,243.6233,236.89
2022-07-14,238.3133,78557498,234.8966,238.6533,229.3333
2022-07-13,237.04,97954510,225.5,242.0599,225.0333
2022-07-12,233.07,87930969,236.8466,239.7733,228.3683
2022-07-11,234.3433,99509230,252.1033,253.0633,233.6266
2022-07-08,250.7633,101854090,242.3333,254.9799,241.1614
2022-07-07,244.5433,81930698,233.92,245.3616,232.21
2022-07-06,231.7333,71853637,230.78,234.5633,227.1866
2022-07-05,233.0666,84779108,223.0,233.1466,216.1667
2022-07-01,227.2633,74460457,227.0,230.23,222.12
2022-06-30,224.4733,94600449,224.51,229.4566,218.8633
2022-06-29,228.49,82897268,230.5,231.1733,222.2733
2022-06-28,232.6633,90666519,244.4833,249.97,232.3433
2022-06-27,244.92,89178309,249.3666,252.07,242.5655
2022-06-24,245.7066,95770720,237.4683,246.0666,236.0866
2022-06-23,235.07,104202700,237.905,239.3166,228.6366
2022-06-22,236.0866,101527270,234.5033,246.8333,233.8266
2022-06-21,237.0366,122792982,224.6033,243.5773,224.3333
2022-06-17,216.76,92641779,213.4333,220.9694,213.1966
2022-06-16,213.1,107390711,222.7366,225.1666,208.6933
2022-06-15,233.0,119131962,220.9166,235.6633,218.15
2022-06-14,220.89,97988800,218.2866,226.33,211.7366
2022-06-13,215.7366,102767260,223.1666,226.6333,214.6833
2022-06-10,232.23,98090920,235.1566,239.5,227.9133
2022-06-09,239.7066,96491320,249.34,255.5466,239.3266
2022-06-08,241.8666,76210628,240.0866,249.9633,239.1766
2022-06-07,238.8866,72808597,234.0,239.9966,230.0933
2022-06-06,238.28,84204518,244.3533,244.8666,234.35
2022-06-03,234.5166,112393751,243.225,247.7966,233.4178
2022-06-02,258.3333,93473139,244.1566,264.21,242.0666
2022-06-01,246.79,77247968,251.72,257.3266,243.64
2022-05-31,252.7533,101914390,257.9466,259.6,244.7433
2022-05-27,253.21,89294979,241.0833,253.2666,240.177
2022-05-26,235.91,106003361,220.4733,239.5566,217.8866
2022-05-25,219.6,92139339,207.95,223.1066,207.67
2022-05-24,209.3866,89092539,217.8433,217.9733,206.8566
2022-05-23,224.9666,88903659,218.34,226.6517,212.6866
2022-05-20,221.3,144973334,237.9966,240.5273,211.0
2022-05-19,236.4733,90296679,235.6666,244.6666,231.37
2022-05-18,236.6033,87811809,248.1733,253.5,233.6033
2022-05-17,253.87,80236118,249.12,254.8266,242.95
2022-05-16,241.4566,86098539,255.72,256.5866,239.6961
2022-05-13,256.53,92150739,257.8266,262.4499,250.5216
2022-05-12,242.6666,140312864,233.6666,253.22,226.6666
2022-05-11,244.6666,97224460,265.0,269.9233,242.4
2022-05-10,266.68,84401648,273.1033,275.12,258.0833
2022-05-09,262.37,90810219,278.8166,281.8766,260.3833
2022-05-06,288.55,72903127,295.6666,296.0,281.035
2022-05-05,291.0933,92519199,313.07,315.2,285.9
2022-05-04,317.54,81643718,301.3133,318.5,295.0933
2022-05-03,303.0833,63709596,301.06,308.0266,296.1966
2022-05-02,300.98,75781388,286.9233,302.1199,282.6766
2022-04-29,290.2533,88133019,300.75,311.4666,290.0
2022-04-28,292.5033,124948542,299.9933,300.0,273.9
2022-04-27,293.8366,76956398,299.5266,306.0,292.4533
2022-04-26,292.14,136133684,331.81,333.3333,291.6666
2022-04-25,332.6733,68341357,326.3233,336.2066,325.1
2022-04-22,335.0166,69696577,338.3033,344.95,331.3333
2022-04-20,325.7333,70711327,343.3333,344.6666,325.0833
2022-04-19,342.7166,49847825,335.02,344.98,331.775
2022-04-18,334.7633,51715235,329.6766,338.3066,324.47
2022-04-14,328.3333,58422426,333.0966,337.5699,327.3966
2022-04-13,340.79,55121226,327.025,342.08,324.3656
2022-04-12,328.9833,65976097,332.5466,340.3973,325.5333
2022-04-11,325.31,59357226,326.8,336.156,324.88
2022-03-25,336.88,62031546,336.0,340.5999,332.44
2022-03-24,337.9733,68920897,336.5766,341.4966,329.6
2022-03-23,333.0366,120676152,326.6466,346.9,325.4666
